_TS,_POS,PID,PLACE,MOVE
15,2,3,oi,cond
15,3,3,oi,bpas
16,1,2,oi,cond
16,1,1,oi,cond
16,2,1,oi,drib
16,1,1,oi,drib
16,1,1,mf,rec
16,2,1,oi,cond
16,3,1,oi,drib
16,1,1,mf,pass
16,2,1,mf,lbal
16,1,3,oi,rec
16,2,3,oi,cond
16,3,3,oi,bpas
17,1,1,oi,cond
17,2,1,oi,drib
17,1,1,oi,drib
17,1,1,mf,rec
17,2,1,oi,cond
17,3,1,oi,drib
17,1,1,mf,pass
17,2,1,mf,lbal
17,1,2,oi,pass
17,1,3,oi,rec
17,2,3,oi,cond
17,3,3,oi,bpas
18,1,1,oi,cond
18,2,1,oi,drib
18,1,1,oi,drib
18,1,1,mf,rec
18,2,1,oi,cond
18,3,1,oi,drib
18,1,1,mf,pass
18,2,1,mf,lbal
18,1,2,oi,pass
18,1,4,oi,rec
18,1,3,oi,rec
18,2,3,oi,cond
18,3,3,oi,bpas
19,1,1,oi,cond
19,2,1,oi,drib
19,1,1,oi,drib
19,1,1,mf,rec
19,2,1,oi,cond
19,3,1,oi,drib
19,1,4,mf,cond
19,1,1,mf,pass
19,2,1,mf,lbal
19,1,2,oi,pass
19,1,3,oi,rec
19,2,3,oi,cond
19,3,3,oi,bpas
20,1,1,oi,cond
20,2,1,oi,drib
20,1,1,oi,drib
20,1,1,mf,rec
20,2,1,oi,cond
20,3,1,oi,drib
20,1,4,mf,cond
20,2,4,oa,cond
20,1,1,mf,pass
20,2,1,mf,lbal
20,1,2,oi,pass
20,1,3,oi,rec
20,2,3,oi,cond
20,3,3,oi,bpas
20,1,4,oa,cond
21,1,1,oi,cond
21,1,1,oi,cond
21,2,1,oi,drib
21,1,1,oi,drib
21,1,1,mf,rec
21,2,1,oi,cond
21,3,1,oi,drib
21,1,4,mf,cond
21,2,4,oa,cond
21,1,1,mf,pass
21,2,1,mf,lbal
21,1,2,oi,pass
21,1,3,oi,rec
21,2,3,oi,cond
21,3,3,oi,bpas
21,1,4,oa,cond
22,1,1,oi,cond
22,2,1,oi,drib
22,1,1,oi,cond
22,2,1,oi,drib
22,1,1,oi,drib
22,1,1,oi,drib
22,1,1,mf,rec
22,2,1,oi,cond
22,3,1,oi,drib
22,1,4,mf,cond
22,2,4,oa,cond
22,1,1,mf,pass
22,2,1,mf,lbal
22,1,2,oi,pass
22,1,3,oi,rec
22,2,3,oi,cond
22,3,3,oi,bpas
22,1,4,oa,cond
23,1,1,oi,cond
23,2,1,oi,drib
23,1,1,oi,cond
23,2,1,oi,drib
23,1,1,oi,drib
23,1,1,oi,drib
23,1,1,mf,rec
23,2,1,oi,cond
23,3,1,oi,drib
23,1,4,mf,cond
23,2,4,oa,cond
23,1,1,mf,pass
23,2,1,mf,lbal
23,1,2,oi,pass
23,1,3,oi,rec
23,2,3,oi,cond
23,3,3,oi,bpas
23,1,4,oa,cond
24,1,3,oi,cond
24,1,1,oi,cond
24,2,1,oi,drib
24,1,1,oi,cond
24,2,1,oi,drib
24,1,1,oi,drib
24,1,1,oi,drib
24,1,1,mf,rec
24,2,1,oi,cond
24,3,1,oi,drib
24,1,4,mf,cond
24,2,4,oa,cond
24,1,1,mf,pass
24,2,1,mf,lbal
24,1,2,oi,pass
24,1,3,oi,rec
24,2,3,oi,cond
24,3,3,oi,bpas
24,1,4,oa,cond
25,1,3,oi,cond
25,1,1,oi,cond
25,2,1,oi,drib
25,1,1,oi,cond
25,2,1,oi,drib
25,1,1,oi,drib
25,1,1,oi,drib
25,1,1,mf,rec
25,2,1,oi,cond
25,3,1,oi,drib
25,1,4,mf,cond
25,2,4,oa,cond
25,1,1,mf,pass
25,2,1,mf,lbal
25,1,2,oi,pass
25,1,2,oi,pass
25,1,3,oi,rec
25,2,3,oi,cond
25,3,3,oi,bpas
25,1,4,oa,cond
